,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Thompson,55.7435,-97.8558,-19.08,95,61,6.98,CA,1647000747
1,Killarney,52.05,-9.5167,51.19,77,100,10.22,IE,1647000747
2,Ilulissat,69.2167,-51.1,3.22,51,75,2.3,GL,1647000747
3,Tuktoyaktuk,69.4541,-133.0374,-15.95,99,100,8.52,CA,1647000747
4,Narsaq,60.9167,-46.05,5.22,71,62,2.19,GL,1647000748
5,Aklavik,68.2191,-135.0107,-29.99,99,90,3.85,CA,1647000748
6,Qasigiannguit,68.8193,-51.1922,3.45,97,99,4.54,GL,1647000748
7,Songjianghe,42.1859,127.479,24.71,76,0,3.13,CN,1647000748
8,Kapaa,22.0752,-159.319,73.72,83,100,10.36,US,1647000484
9,Half Moon Bay,37.4636,-122.4286,54.01,55,0,4.61,US,1647000749
10,Cherskiy,68.75,161.3,-5.3,82,90,2.98,RU,1647000749
11,Tumaco,1.7986,-78.8156,74.28,92,15,3.09,CO,1647000749
12,Severo-Yeniseyskiy,60.3725,93.0408,-4.49,99,100,2.51,RU,1647000750
13,Ciudad Bolivar,8.1222,-63.5497,77.43,77,99,9.91,VE,1647000750
14,Karpogory,64.0019,44.4451,26.67,95,100,8.19,RU,1647000750
15,Chowchilla,37.123,-120.2602,42.51,51,0,5.75,US,1647000751
16,Laas,46.6166,10.7002,44.37,78,84,5.66,IT,1647000751
17,Tasiilaq,65.6145,-37.6368,28.56,77,100,4.81,GL,1647000751
18,Şebinkarahisar,40.2883,38.4236,24.76,63,100,11.36,TR,1647000751
19,Baruun-Urt,46.6806,113.2792,35.64,44,100,6.76,MN,1647000752
20,Butaritari,3.0707,172.7902,80.71,80,99,14.67,KI,1647000752
21,Acajutla,13.5928,-89.8275,76.28,80,11,6.87,SV,1647000752
22,Linjiang,41.8069,126.9078,31.39,69,0,1.25,CN,1647000752
23,Nazas,25.2333,-104.1333,48.99,30,87,5.28,MX,1647000753
24,Bonthe,7.5264,-12.505,87.01,58,12,9.4,SL,1647000753
25,São Filipe,14.8961,-24.4956,74.23,61,2,10.67,CV,1647000753
26,Turukhansk,65.8167,87.9833,-7.53,98,100,1.05,RU,1647000753
27,Olafsvik,64.8945,-23.7142,41.92,81,80,33.69,IS,1647000753
28,Dikson,73.5069,80.5464,-7.13,91,100,23.42,RU,1647000754
29,Cayenne,4.9333,-52.3333,83.08,57,75,5.75,GF,1647000754
30,Saskylakh,71.9167,114.0833,-20.43,99,100,4.14,RU,1647000754
31,Lagoa,39.05,-27.9833,59.09,81,100,31.05,PT,1647000755
32,Kavaratti,10.5669,72.642,83.62,70,0,6.49,IN,1647000755
33,Jinji,23.2281,110.8261,74.88,60,33,2.64,CN,1647000755
34,Yankton,42.8711,-97.3973,12.45,73,0,13.8,US,1647000756
35,Lyudinovo,53.8664,34.4478,27.95,65,66,5.23,RU,1647000756
36,Nouadhibou,20.931,-17.0347,70.29,49,0,8.79,MR,1647000756
37,Ribeira Grande,38.5167,-28.7,61.2,72,75,24.16,PT,1647000757
38,Sur,22.5667,59.5289,86.05,39,5,3.96,OM,1647000757
39,La Baule-Escoublac,47.2922,-2.364,55.71,82,75,21.85,FR,1647000757
40,Chokurdakh,70.6333,147.9167,-9.45,99,100,3.91,RU,1647000757
41,Andreapol',56.6513,32.2664,30.94,63,53,9.17,RU,1647000757
42,Longyearbyen,78.2186,15.6401,13.84,67,0,14.97,SJ,1647000758
43,Simao,22.7886,100.9748,69.98,32,23,2.51,CN,1647000758
44,Polyarny,69.1989,33.4478,35.51,85,94,19.71,RU,1647000758
45,Arlit,18.7369,7.3853,91.2,10,3,6.62,NE,1647000759
46,Bathsheba,13.2167,-59.5167,79.41,69,20,21.85,BB,1647000759
47,Kurumkan,54.3,110.3,7.9,88,100,4.52,RU,1647000759
48,Buckeye,33.3703,-112.5838,54.19,28,5,13.42,US,1647000760
